"index","nombreJugador","nacionalidades.nacionalidad","nacionalidades.nacionalidad2","edad","club","valorMasAlto","ultimaRevision","valorDelMercado"
"1","Lamine Yamal","No info","No info","17","FC Barcelona","200.00 mill. €","09/06/2025","200.00 mill. €"
"2","Jude Bellingham","No info","No info","21","Real Madrid CF","180.00 mill. €","09/06/2025","180.00 mill. €"
"3","Kylian Mbappé","No info","No info","26","Real Madrid CF","200.00 mill. €","09/06/2025","180.00 mill. €"
"4","Vinicius Junior","No info","No info","24","Real Madrid CF","200.00 mill. €","09/06/2025","170.00 mill. €"
"5","Pedri","No info","No info","22","FC Barcelona","140.00 mill. €","09/06/2025","140.00 mill. €"
"6","Federico Valverde","No info","No info","26","Real Madrid CF","130.00 mill. €","09/06/2025","130.00 mill. €"
"7","Julián Alvarez","No info","No info","25","Atlético de Madrid","100.00 mill. €","09/06/2025","100.00 mill. €"
"8","Raphinha","No info","No info","28","FC Barcelona","90.00 mill. €","09/06/2025","90.00 mill. €"
"9","Rodrygo","No info","No info","24","Real Madrid CF","110.00 mill. €","09/06/2025","90.00 mill. €"
"10","Pau Cubarsí","No info","No info","18","FC Barcelona","80.00 mill. €","09/06/2025","80.00 mill. €"
"11","Aurélien Tchouaméni","No info","No info","25","Real Madrid CF","100.00 mill. €","09/06/2025","75.00 mill. €"
"12","Trent Alexander-Arnold","No info","No info","26","Real Madrid CF","110.00 mill. €","30/05/2025","75.00 mill. €"
"13","Nico Williams","No info","No info","22","Athletic Club","70.00 mill. €","09/06/2025","70.00 mill. €"
"14","Jules Koundé","No info","No info","26","FC Barcelona","65.00 mill. €","09/06/2025","65.00 mill. €"
"15","Martín Zubimendi","No info","No info","26","Real Sociedad","60.00 mill. €","09/06/2025","60.00 mill. €"
"16","Dani Olmo","No info","No info","27","FC Barcelona","60.00 mill. €","09/06/2025","60.00 mill. €"
"17","Dean Huijsen","No info","No info","20","Real Madrid CF","60.00 mill. €","30/05/2025","60.00 mill. €"
"18","Alejandro Balde","No info","No info","21","FC Barcelona","60.00 mill. €","09/06/2025","60.00 mill. €"
